0	AUTO	0	Range of Brynmar	布林玛山脉
1	AUTO	0	West Istravel	西伊斯特拉维尔
2	AUTO	0	North Kelmora	北凯尔莫拉
3	AUTO	0	River Shore of Solmara	索尔玛拉长河海岸
4	AUTO	0	The Covenant Forest	盟誓林海
5	AUTO	0	WindSanctuary	风息圣域
6	AUTO	0	Solmara and the Raven Groves	索尔玛拉与鸦羽圣林
7	AUTO	0	Pearl Crownlands	珍珠王畿
8	AUTO	0	Jorvask High March	约瓦斯克高地边境
9	AUTO	0	Stormmere Headwaters	风暴泽源流
10	AUTO	0	Veil of Norvayne	诺瓦恩帷幕
11	AUTO	0	Glacial Gate of Dawnrun	晨奔河冰川关门
12	AUTO	0	Tallow Estuary	脂烛河入海口
13	AUTO	0	Darsenne Low March	达森恩低地边境
14	AUTO	0	Gilded Tallow Basin	鎏金脂烛河盆地
15	AUTO	0	Citadel of Stormmere	风暴泽城塞
16	AUTO	0	Southern Gate of Elden	古流河南境关门
17	AUTO	0	East Arvendale	东阿文戴尔
18	AUTO	0	North Avaron	北阿瓦隆
19	AUTO	0	RoseReach	蔷薇远境
20	AUTO	0	North Jorvask	北约瓦斯克
21	AUTO	0	Harbor of Faelmark	费尔马克港湾
22	AUTO	0	Anvil of Avaron	阿瓦隆铁砧
23	AUTO	0	Silver Crownlands	银辉王畿
24	AUTO	0	Dragon Shore of Umbriel	安布瑞尔龙脊海岸
25	AUTO	0	Mireholt Tallow Crossing	米尔霍特脂烛河渡口
26	AUTO	0	Maerwyn's Lakes	梅尔温湖区
27	AUTO	0	Wyrmholt's Headwaters	维姆霍特源流
28	AUTO	0	The Verdant Downs	苍翠丘原
29	AUTO	0	Umbriel and the Crimson Cliffs	安布瑞尔与绯红断崖
30	AUTO	0	Crystal Shore	水晶岸地
31	AUTO	0	Westermere Headwaters	西泽源流
32	AUTO	0	Hearth Estuary	炉火河入海口
33	AUTO	0	Pyrandel's Downs	派兰德尔丘原
34	AUTO	0	Spire of Zephyrion	泽菲里昂尖塔
35	AUTO	0	Barrens of Faelmark	费尔马克荒土
36	AUTO	0	Upper Yarrow	蓍草河上游
37	AUTO	0	Barrens of Avaron	阿瓦隆荒土
38	AUTO	0	Vaeloria Zephyr Crossing	瓦洛里亚西风河渡口
39	AUTO	0	WesternReach	西境远境
40	AUTO	0	Hidden Crownlands	隐秘王畿
41	AUTO	0	Eastern Fields of Zephyr	西风河东境原野
42	AUTO	0	Misty Harbor March	雾隐港湾边境
43	AUTO	0	Upper Umber	赭影河上游
44	AUTO	0	Lower Oath	誓言河下游
45	AUTO	0	Arvendale Greywash Crossing	阿文戴尔灰浪河渡口
46	AUTO	0	Harborlands of the Deep Crown	深境王冠港境
47	AUTO	0	East Quenovar	东昆诺瓦
48	AUTO	0	Salt Zephyr Basin	盐风西风河盆地
49	AUTO	0	Causeway of the Ember Monolith	烬火方尖碑堤道
50	AUTO	0	The Sun Wastes	日耀荒漠
51	AUTO	0	Istravel and the Jade Fen	伊斯特拉维尔与苍玉沼泽
52	AUTO	0	Dragon Crownlands	龙脊王畿
53	AUTO	0	Upper Queensflow	王后河上游
54	AUTO	0	Veyr Estuary	维尔河入海口
55	AUTO	0	Goldwyn's Hold	戈德温堡域
56	AUTO	0	Lower Greywash	灰浪河下游
57	AUTO	0	Verdant Crownlands	苍翠王畿
58	AUTO	0	Wastes of the Dusken Gate	暮色城门荒漠
59	AUTO	0	Lowlands of the Eastern Road	东境古道低地
60	AUTO	0	The Red Fjord	赤红峡湾
61	AUTO	0	Citadel of Lorenthe	洛伦瑟城塞
62	AUTO	0	Orvayne Terraces	奥瓦恩梯原
63	AUTO	0	South Orrenth	南奥伦斯
64	AUTO	0	White Pass of Lunareth	露娜瑞斯白石关隘
65	AUTO	0	White Gate of Silverrun	银奔河白石关门
66	AUTO	0	Pearl Gate of Lark	云雀河珍珠关门
67	AUTO	0	Steppe of Orvayne	奥瓦恩草原
68	AUTO	0	Beacon of Arvendale	阿文戴尔烽塔
69	AUTO	0	Halvyr Groves	哈尔维尔圣林
70	AUTO	0	Bronze Gate of Yarrow	蓍草河青铜关门
71	AUTO	0	Cedar Hearth March	雪松炉心边境
72	AUTO	0	Southern Fields of Aster	星河南境原野
73	AUTO	0	Kestrel Riverlands	隼河河境
74	AUTO	0	The Silver Fields	银辉原野
75	AUTO	0	Banner of Darsenne	达森恩战旗
76	AUTO	0	The Thorn Range	棘刺山脉
