0001	0	0	Qinghe Upper Circuit	青河上道
0002	0	0	Jinglan Riverlands	靖澜河原
0003	0	0	Cangshan Mountain Gate	苍山山门
0004	0	0	Mingyue Prefecture	明月府
0005	0	0	Xuanlong Pass	玄龙关
0006	0	0	Ruiyun Rice Plain	瑞云稻原
0007	0	0	Yuhai Harbor Circuit	玉海港道
0008	0	0	Baihe Commandery	白河郡
0009	0	0	Heian Pine Ridge	平安松岭
0010	0	0	Kurokaze Coast	黑风海岸
0011	0	0	Akatsuki Tea Hills	晓原茶岭
0012	0	0	Kirigawa Lower Valley	雾川下谷
0013	0	0	Cheongcheon Basin	青川盆地
0014	0	0	Baekgang Delta Province	白江河口州
0015	0	0	Garam Cloud Terrace	江岚云台
0016	0	0	Mireu Dragon Pass	龙渊龙关
0017	0	0	Selen Outer March	外瑟岚边州
0018	0	0	Boran Jade Fields	博岚玉田
0019	0	0	Haneul Lake Country	天原湖乡
0020	0	0	Seorim Forest Province	瑞林林州
0021	0	0	HanaQing Harbor Circuit	花野青港道
0022	0	0	Mireu Coast of Cheongcheon	青川龙渊海岸
0023	0	0	Huo Lake Country	火湖乡
0024	0	0	Pearl Harbor Prefecture	珠港府
0025	0	0	Aki Coast of Jingjiang	靖江秋津海岸
0026	0	0	XuanBaek Harbor Circuit	玄白岳港道
0027	0	0	Yun Coast of Xuanshui	玄水云海岸
0028	0	0	Inner Hanagawa Basin	内花川盆地
0029	0	0	AkiSelen Harbor Circuit	秋津瑟岚港道
0030	0	0	Lower Crane Marsh March	下鹤泽边州
0031	0	0	Garam Snowfield	江岚雪原
0032	0	0	SeorimNing Cloud Terrace	瑞林宁云台
0033	0	0	Ruihe River Circuit	瑞河道
0034	0	0	LongHaneul Jade Fields	龙天原玉田
0035	0	0	JiangTao Rice Plain	江桃稻原
0036	0	0	Lin Rice Plain	林稻原
0037	0	0	CangHaneul and the Silver Bridge	苍天原与银桥
0038	0	0	TsukiTao Harbor Circuit	月见桃港道
0039	0	0	KuroMireu and the Jade Bell	黑羽龙渊与玉钟
0040	0	0	HanaShui and the Dragon Well	花野水与龙井
0041	0	0	AkatsukiLin Rice Plain	晓原林稻原
0042	0	0	Far Pearl Harbor March	远珠港边州
0043	0	0	Southern LingMing Isles	南陵明群岛
0044	0	0	Far KiriMori Isles	远雾隐森原群岛
0045	0	0	Ling Cape	陵岬
0046	0	0	YueBaek and the Phoenix Hall	月白岳与凤殿
0047	0	0	Seorim Snowfield	瑞林雪原
0048	0	0	Pearl Harbor Commandery	珠港郡
0049	0	0	Zhu Lake Country	竹湖乡
0050	0	0	Eastern FengHuo Isles	东风火群岛
0051	0	0	Wei Coast of Cangliu	苍流巍海岸
0052	0	0	CheongLan Harbor Circuit	青川澜港道
0053	0	0	Jiang Rice Plain	江稻原
0054	0	0	Outer An Forest Province	外安林州
0055	0	0	BaiBaek and the Moon Shrine	白白岳与月社
0056	0	0	Lower Cheongcheon	青川下游
0057	0	0	Jade Bell Commandery	玉钟郡
0058	0	0	LinMireu Harbor Circuit	林龙渊港道
0059	0	0	Upper Mireugang	龙渊江上游
0060	0	0	Luo Bamboo March	洛竹边
0061	0	0	Upper Baekgang	白江上游
0062	0	0	BaiAn Lake Country	白安湖乡
0063	0	0	Southern Baek Forest Province	南白岳林州
0064	0	0	YinBai and the Silver Bridge	银白与银桥
0065	0	0	Dragon Well Prefecture	龙井府
0066	0	0	Boran March	博岚边州
0067	0	0	Ming Bamboo March	明竹边
0068	0	0	Central JiangFeng Basin	中江风盆地
0069	0	0	Gu Bamboo March	谷竹边
0070	0	0	Lower Hanagawa	花川下游
0071	0	0	Rui Mountain Gate	瑞山门
0072	0	0	Northern Weihe Basin	北巍河盆地
0073	0	0	YamaMei Cloud Terrace	山城梅云台
0074	0	0	MeiMori and the Lotus Lake	梅森原与莲湖
0075	0	0	Cheong Lake Country	青川湖乡
0076	0	0	White Pagoda Prefecture	白塔府
0077	0	0	Haneul Coast of Zhaojiang	昭江天原海岸
0078	0	0	Outer Kirigawa Basin	外雾川盆地
0079	0	0	KazeLan Harbor Circuit	风见澜港道
0080	0	0	GuZhu Cloud Terrace	谷竹云台
0081	0	0	Cang Tea Hills	苍茶岭
0082	0	0	HeiHai Coast	黑海海岸
0083	0	0	Inner Mist Gate March	内雾门边州
0084	0	0	Cang Snowfield	苍雪原
0085	0	0	Ling Coast of Morikawa	森川陵海岸
0086	0	0	Southern Red Crane March	南朱鹤边州
0087	0	0	MeiMori and the Wind Beacon	梅森原与风烽
0088	0	0	Northern Kirigawa Basin	北雾川盆地
0089	0	0	Central White Pagoda March	中白塔边州
0090	0	0	He Lake Country	河湖乡
0091	0	0	Zhao Coast	昭海岸
0092	0	0	Garam Delta Province	江岚河口州
0093	0	0	Nine Gates Prefecture	九关府
0094	0	0	Western Star Monastery March	西星寺边州
0095	0	0	He Snowfield	河雪原
0096	0	0	Kiri Mountain Gate	雾隐山门
0097	0	0	Bai Mountain Gate	白山门
0098	0	0	Lin Snowfield	林雪原
0099	0	0	BoranShui Riverlands	博岚水河原
0100	0	0	Kawatsuki Delta Province	月川河口州
0101	0	0	Outer Qinghe Basin	外青河盆地
0102	0	0	Xuanshui River Circuit	玄水道
0103	0	0	Far AkiShan Isles	远秋津山群岛
0104	0	0	NaraeYin Tea Hills	羽川银茶岭
0105	0	0	AkiDal and the Moon Shrine	秋津月川与月社
0106	0	0	Cang Highlands	苍高原
0107	0	0	DalXuan Harbor Circuit	月川玄港道
0108	0	0	Inner SongAn Isles	内松安群岛
0109	0	0	Shiro Lake Country	白羽湖乡
0110	0	0	Jin Lake Country	金湖乡
0111	0	0	CheongRui Cloud Terrace	青川瑞云台
0112	0	0	Northern Morikawa Basin	北森川盆地
0113	0	0	NaraeZhu Salt Marsh	羽川竹盐泽
0114	0	0	Yin Bamboo March	银竹边
0115	0	0	Yue Coast of Mingchuan	明川月海岸
0116	0	0	Kawatsuki River Circuit	月川道
0117	0	0	Central JinTao Cloud Terrace	中金桃云台
0118	0	0	Kuro Bamboo March	黑羽竹边
0119	0	0	HanaLing Harbor Circuit	花野陵港道
0120	0	0	Upper Qinghe	青河上游
0121	0	0	Central HeiCang Isles	中黑苍群岛
0122	0	0	QingShiro Cloud Terrace	青白羽云台
0123	0	0	Aki Coast of Kirigawa	雾川秋津海岸
0124	0	0	Tsuki Tea Hills	月见茶岭
0125	0	0	Upper Tao Forest Province	上桃林州
